weight,size,class
58,4.47,orange
64,5.22,apple
54,4.48,orange
59,4.66,orange
65,5.25,apple
57,4.18,orange
64,5.5,apple
55,4.13,orange
60,4.83,orange
59,4.61,orange
58,4.08,orange
57,4.25,orange
61,5.35,apple
57,4.01,orange
60,4.22,orange
64,5.25,apple
61,5.26,apple
63,5.78,apple
55,4.68,orange
62,5.72,apple
63,5.17,apple
58,4.83,orange
59,4.11,orange
59,4.76,orange
64,5.48,apple
60,5.59,apple
63,5.03,apple
59,4.39,orange
59,4.21,orange
55,4.09,orange
62,5.85,apple
57,4.7,orange
63,5.68,apple
60,5.56,apple
65,5.11,apple
64,5.36,apple
55,4.27,orange
63,5.79,apple
60,5.47,apple
